,p,reference
0,0.38816708,0.0
1,0.3553465,0.0
2,0.4003306,0.0
3,0.3610692,0.0
4,0.37973106,0.0
5,0.3856077,0.0
6,0.3708244,0.0
7,0.38376394,0.0
8,0.35836443,0.0
9,0.38267064,0.0
10,0.37823668,0.0
11,0.37355727,0.0
12,0.37922728,0.0
13,0.37556046,0.0
14,0.3881293,0.0
15,0.3780393,0.0
16,0.3806415,0.0
17,0.3970888,0.0
18,0.36715472,0.0
19,0.36273253,0.0
20,0.38702154,0.0
21,0.3830387,0.0
22,0.37228137,0.0
23,0.37935713,0.0
24,0.35288262,0.0
25,0.37299085,0.0
26,0.38386977,0.0
27,0.3477068,0.0
28,0.35445386,0.0
29,0.40395007,0.0
30,0.35495043,0.0
31,0.38408145,0.0
32,0.39745355,0.0
33,0.39681885,1.0
34,0.35992014,0.0
35,0.3826212,0.0
36,0.38496375,1.0
37,0.40653482,0.0
38,0.38000792,0.0
39,0.35591775,0.0
40,0.3867486,0.0
41,0.3776394,0.0
42,0.36017662,0.0
43,0.37561342,0.0
44,0.40245077,1.0
45,0.3713411,0.0
46,0.37199342,0.0
47,0.38468954,0.0
48,0.38396224,0.0
49,0.36533064,0.0
50,0.38300487,0.0
51,0.35393852,0.0
52,0.36647564,0.0
53,0.38561702,0.0
54,0.36525857,0.0
55,0.36692086,0.0
56,0.38083234,0.0
57,0.38315517,0.0
58,0.3967125,0.0
59,0.3500793,0.0
60,0.37562853,0.0
61,0.36516085,0.0
62,0.36949956,0.0
63,0.37487513,0.0
64,0.35335958,0.0
65,0.3906812,0.0
66,0.3710496,0.0
67,0.37767226,0.0
68,0.37809244,0.0
69,0.37488788,0.0
70,0.36203152,0.0
71,0.37103814,0.0
72,0.38385567,0.0
73,0.37574148,0.0
74,0.38858208,1.0
75,0.3738131,0.0
76,0.3523693,0.0
77,0.36324552,0.0
78,0.34296662,0.0
79,0.37063593,0.0
80,0.35844046,0.0
81,0.3998857,0.0
82,0.39084536,0.0
83,0.3692417,0.0
84,0.40548852,0.0
85,0.36013535,0.0
86,0.3877077,0.0
87,0.3512143,0.0
88,0.3736704,0.0
89,0.40257886,0.0
90,0.37259272,0.0
91,0.34568042,0.0
92,0.4038835,0.0
93,0.384811,0.0
94,0.40684533,0.0
95,0.40386906,0.0
96,0.36446315,0.0
97,0.37431335,0.0
98,0.35851377,0.0
99,0.38538206,0.0
100,0.38586786,0.0
101,0.37439418,0.0
102,0.37638474,1.0
103,0.35424986,0.0
104,0.39787728,0.0
105,0.37494496,0.0
106,0.37662405,0.0
107,0.35852706,0.0
108,0.3775034,0.0
109,0.398354,0.0
110,0.38847426,0.0
111,0.36375126,0.0
112,0.35617045,0.0
113,0.38788623,0.0
114,0.37824786,0.0
115,0.39059627,0.0
116,0.38181168,0.0
117,0.38485566,0.0
118,0.36040646,0.0
119,0.37660652,0.0
120,0.39174646,0.0
121,0.4033339,0.0
122,0.37678716,0.0
123,0.37532538,0.0
124,0.37315363,0.0
125,0.3637898,0.0
126,0.36290956,0.0
127,0.3983273,0.0
128,0.38763762,0.0
129,0.3774482,0.0
130,0.38868916,0.0
131,0.37231395,0.0
132,0.37431163,0.0
133,0.38428268,1.0
134,0.3775361,0.0
135,0.39818522,0.0
136,0.38322067,0.0
137,0.39755118,0.0
138,0.37290287,0.0
139,0.36152184,0.0
